rentree_scolaire;region_academique;academie;departement;commune;numero_etablissement;denomination;patronyme;secteur;effectif_total_en_premiere_generale;effectif_total_filles;effectif_total_garcons;0105_humanites_litterature_et_philosophie_filles;0105_humanites_litterature_et_philosophie_garcons;0241_litterature_et_lca_latin_filles;0241_litterature_et_lca_latin_garcons;0242_litterature_et_lca_grec_filles;0242_litterature_et_lca_grec_garcons;0300_langues_litterature_et_cultures_etrangeres_et_regionales_filles;0300_langues_litterature_et_cultures_etrangeres_et_regionales_garcons;0439_hist_geo_geopolitique_sc_politiques_filles;0439_hist_geo_geopolitique_sc_politiques_garcons;0507_sciences_economiques_et_sociales_filles;0507_sciences_economiques_et_sociales_garcons;0613_mathematiques_filles;0613_mathematiques_garcons;0623_physique_chimie_filles;0623_physique_chimie_garcons;0629_sciences_de_la_vie_et_de_la_terre_filles;0629_sciences_de_la_vie_et_de_la_terre_garcons;0673_sciences_de_l_ingenieur_filles;0673_sciences_de_l_ingenieur_garcons;0747_numerique_et_sciences_informatiques_filles;0747_numerique_et_sciences_informatiques_garcons;0825_danse_filles;0825_danse_garcons;0832_musique_filles;0832_musique_garcons;0901_arts_plastiques_filles;0901_arts_plastiques_garcons;2757_histoire_des_arts_filles;2757_histoire_des_arts_garcons;2785_theatre_filles;2785_theatre_garcons;2786_arts_du_cirque_filles;2786_arts_du_cirque_garcons;2852_cinema_audiovisuel_filles;2852_cinema_audiovisuel_garcons;3045_biologie_ecologie_filles;3045_biologie_ecologie_garcons;01_mathematiques_physique_chimie_sciences_de_la_vie_et_de_la_terre_filles;01_mathematiques_physique_chimie_sciences_de_la_vie_et_de_la_terre_garcons;02_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_so;02_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_s0;03_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_economiques_et_sociales_filles;03_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_economiques_et_sociales_garcons;04_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_sciences_economiques_et_;04_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_sciences_economiques_et0;05_mathematiques_numerique_et_sciences_informatiques_physique_chimie_filles;05_mathematiques_numerique_et_sciences_informatiques_physique_chimie_garcons;06_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_langues_litt_et_cultures;06_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_langues_litt_et_culture0;07_mathematiques_physique_chimie_sciences_de_l_ingenieur_filles;07_mathematiques_physique_chimie_sciences_de_l_ingenieur_garcons;08_mathematiques_physique_chimie_sciences_economiques_et_sociales_filles;08_mathematiques_physique_chimie_sciences_economiques_et_sociales_garcons;09_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_economiques_et_sociales_filles;09_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_economiques_et_sociales_garcons;10_mathematiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_terre_filles;10_mathematiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_terre_garcons;11_hist_geo_geopolitique_sc_politiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_;11_hist_geo_geopolitique_sc_politiques_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la0;12_humanites_litterature_et_philosophie_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_s;12_humanites_litterature_et_philosophie_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_0;13_langues_litt_et_cultures_etra_et_r_mathematiques_physique_chimie_filles;13_langues_litt_et_cultures_etra_et_r_mathematiques_physique_chimie_garcons;14_hist_geo_geopolitique_sc_politiques_mathematiques_physique_chimie_filles;14_hist_geo_geopolitique_sc_politiques_mathematiques_physique_chimie_garcons;15_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_t;15_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_0;16_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_de_la_vie_et_de_la_terre_filles;16_langues_litt_et_cultures_etra_et_r_mathematiques_sciences_de_la_vie_et_de_la_terre_garcons;17_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_de_la_vie_et_de_la_terre_filles;17_hist_geo_geopolitique_sc_politiques_mathematiques_sciences_de_la_vie_et_de_la_terre_garcons;18_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_mathematiques_filles;18_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_mathematiques_garcons;autres_combinaisons_filles;autres_combinaisons_garcons;1087_educ_physique_pratique_cult_sportive_filles;1087_educ_physique_pratique_cult_sportive_garcons
2021;AUVERGNE-RHONE-ALPES;CLERMONT-FERRAND;ALLIER;CUSSET;0030051P;LGT LYCEE DES METIERS;ALBERT LONDRES;PUBLIC;388;222;166;61;13;0;0;0;0;90;32;100;45;93;56;137;138;69;75;84;66;10;47;2;22;0;0;0;0;20;4;0;0;0;0;0;0;0;0;0;0;61;48;24;15;21;17;17;4;0;1;17;5;8;26;0;0;11;6;13;14;0;0;7;0;0;0;0;0;0;0;10;4;0;0;11;1;22;25;0;0
2021;AUVERGNE-RHONE-ALPES;CLERMONT-FERRAND;ALLIER;MOULINS;0030036Y;LYCEE GENERAL;THEODORE DE BANVILLE;PUBLIC;320;185;135;42;12;2;1;0;0;74;25;77;44;94;54;90;88;61;59;94;69;0;0;5;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;31;24;9;7;7;11;4;1;17;14;3;0;0;1;1;10;4;9;11;8;4;4;0;3;0;0;3;6;0;1;1;1;0;0;1;39;39;16;20
2021;AUVERGNE-RHONE-ALPES;CLERMONT-FERRAND;ALLIER;YZEURE;0030038A;LPO LYCEE DES METIERS;JEAN MONNET;PUBLIC;35;19;16;0;0;0;0;0;0;0;0;0;0;0;0;18;14;18;15;18;9;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;6;0;0;;;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
2021;AUVERGNE-RHONE-ALPES;CLERMONT-FERRAND;CANTAL;MAURIAC;0150747F;LPO LYCEE DES METIERS;;PUBLIC;82;52;30;23;3;0;0;0;0;11;1;28;9;22;13;28;25;21;21;17;8;0;0;6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;7;2;0;3;4;9;2;5;9;5;0;0;0;2;4;2;0;0;0;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0
2021;AUVERGNE-RHONE-ALPES;CLERMONT-FERRAND;HAUTE-LOIRE;BRIOUDE;0430053Z;LYCEE POLYVALENT PRIVE;SAINT JULIEN;PRIVE SOUS CONTRAT;79;38;41;19;5;0;0;0;0;13;11;15;17;15;19;22;34;14;24;16;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;9;0;2;2;5;4;1;0;0;6;2;0;0;1;8;0;0;0;1;1;1;3;1;1;4;1;3;1;0;0;0;1;2;0;1;6;1;0;0
2021;AUVERGNE-RHONE-ALPES;CLERMONT-FERRAND;HAUTE-LOIRE;LE PUY-EN-VELAY;0430020N;LPO LYCEE DES METIERS;CHARLES ET ADRIEN DUPUY;PUBLIC;115;67;48;24;9;0;0;0;0;18;11;25;16;27;20;42;34;26;23;29;14;4;10;1;4;0;0;0;0;0;0;0;0;5;3;0;0;0;0;0;0;19;8;1;3;6;4;9;4;0;2;2;2;3;7;0;2;1;1;3;4;0;1;4;0;0;1;2;2;0;1;3;0;0;0;2;0;12;6;0;0
2021;AUVERGNE-RHONE-ALPES;CLERMONT-FERRAND;PUY-DE-DOME;CHAMALIERES;0631669X;LPO LYCEE DES METIERS;DES METIERS DE L'HOTELLERIE DE;PUBLIC;156;101;55;33;6;0;0;0;0;38;12;46;12;39;27;49;39;32;36;45;29;0;0;0;0;0;0;0;0;21;4;0;0;0;0;0;0;0;0;0;0;25;18;5;2;7;4;6;1;0;0;7;1;0;0;0;7;3;0;1;2;4;3;3;0;1;5;1;0;0;1;0;0;1;0;3;0;34;11;0;0
2021;AUVERGNE-RHONE-ALPES;CLERMONT-FERRAND;PUY-DE-DOME;CLERMONT-FERRAND;0630021F;LPO LYCEE DES METIERS;LA FAYETTE;PUBLIC;97;16;81;0;0;0;0;0;0;0;0;0;0;0;0;16;81;15;63;11;21;3;44;3;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;17;0;0;;;0;0;2;16;0;0;2;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18;0;0
2021;AUVERGNE-RHONE-ALPES;CLERMONT-FERRAND;PUY-DE-DOME;CLERMONT-FERRAND;0630077S;LYCEE GENERAL ET TECHNOLOGIQUE;AMBROISE BRUGIERE;PUBLIC;198;112;86;16;2;0;0;0;0;40;11;49;39;47;35;70;64;23;22;48;36;0;0;12;13;0;0;0;0;7;1;0;0;0;0;0;0;0;0;0;0;22;13;18;4;13;17;0;0;1;9;9;1;0;0;0;0;6;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;42;40;24;35
2021;AUVERGNE-RHONE-ALPES;CLERMONT-FERRAND;PUY-DE-DOME;COURPIERE;0631032E;LYCEE GENERAL PRIVE;SAINT PIERRE;PRIVE SOUS CONTRAT;25;15;10;5;3;0;0;0;0;7;4;11;5;6;4;8;6;4;3;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;0;3;2;0;0;0;0;5;3;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0
