rentree_scolaire;region_academique;academie;departement;commune;numero_etablissement;denomination;patronyme;secteur;effectif_total_en_terminale_generale;effectif_total_garcons;effectif_total_filles;0105_humanites_litterature_et_philosophie_filles;0105_humanites_litterature_et_philosophie_garcons;0241_litterature_et_lca_latin_filles;0241_litterature_et_lca_latin_garcons;0242_litterature_et_lca_grec_filles;0242_litterature_et_lca_grec_garcons;0300_langues_litterature_et_cultures_etrangeres_et_regionales_filles;0300_langues_litterature_et_cultures_etrangeres_et_regionales_garcons;0439_hist_geo_geopolitique_sc_politiques_filles;0439_hist_geo_geopolitique_sc_politiques_garcons;0507_sciences_economiques_et_sociales_filles;0507_sciences_economiques_et_sociales_garcons;0613_mathematiques_filles;0613_mathematiques_garcons;0623_physique_chimie_filles;0623_physique_chimie_garcons;0629_sciences_de_la_vie_et_de_la_terre_filles;0629_sciences_de_la_vie_et_de_la_terre_garcons;0747_numerique_et_sciences_informatiques_filles;0747_numerique_et_sciences_informatiques_garcons;0825_danse_filles;0825_danse_garcons;0832_musique_filles;0832_musique_garcons;0901_arts_plastiques_filles;0901_arts_plastiques_garcons;2757_histoire_des_arts_filles;2757_histoire_des_arts_garcons;2785_theatre_filles;2785_theatre_garcons;2786_arts_du_cirque_filles;2786_arts_du_cirque_garcons;2852_cinema_audiovisuel_filles;2852_cinema_audiovisuel_garcons;3045_biologie_ecologie_filles;3045_biologie_ecologie_garcons;4806_sciences_de_l_ingenieur_et_sc_physiques_filles;4806_sciences_de_l_ingenieur_et_sc_physiques_garcons;0001_mathematiques_physique_chimie_filles;0001_mathematiques_physique_chimie_garcons;0002_hist_geo_geopolitique_sc_politiques_sciences_economiques_et_sociales_filles;0002_hist_geo_geopolitique_sc_politiques_sciences_economiques_et_sociales_garcons;0003_physique_chimie_sciences_de_la_vie_et_de_la_terre_filles;0003_physique_chimie_sciences_de_la_vie_et_de_la_terre_garcons;0004_mathematiques_sciences_de_la_vie_et_de_la_terre_filles;0004_mathematiques_sciences_de_la_vie_et_de_la_terre_garcons;0005_mathematiques_sciences_economiques_et_sociales_filles;0005_mathematiques_sciences_economiques_et_sociales_garcons;0006_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_sociales_filles;0006_langues_litt_et_cultures_etra_et_r_sciences_economiques_et_sociales_garcons;0007_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_filles;0007_hist_geo_geopolitique_sc_politiques_langues_litt_et_cultures_etra_et_r_garcons;0008_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_filles;0008_hist_geo_geopolitique_sc_politiques_humanites_litterature_et_philosophie_garcons;0009_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_terre_filles;0009_sciences_economiques_et_sociales_sciences_de_la_vie_et_de_la_terre_garcons;0010_humanites_litterature_et_philosophie_langues_litt_et_cultures_etra_et_r_filles;0010_humanites_litterature_et_philosophie_langues_litt_et_cultures_etra_et_r_garcons;0011_mathematiques_numerique_et_sciences_informatiques_filles;0011_mathematiques_numerique_et_sciences_informatiques_garcons;0012_humanites_litterature_et_philosophie_sciences_economiques_et_sociales_filles;0012_humanites_litterature_et_philosophie_sciences_economiques_et_sociales_garcons;0013_hist_geo_geopolitique_sc_politiques_mathematiques_filles;0013_hist_geo_geopolitique_sc_politiques_mathematiques_garcons;0014_mathematiques_sciences_inge_et_phy_filles;0014_mathematiques_sciences_inge_et_phy_garcons;0015_hist_geo_geopolitique_sc_politiques_sciences_de_la_vie_et_de_la_terre_filles;0015_hist_geo_geopolitique_sc_politiques_sciences_de_la_vie_et_de_la_terre_garcons;autres_combinaisons_filles;autres_combinaisons_garcons;code_postal
2020;AUVERGNE-RHONE-ALPES;LYON;LOIRE;SAINT-ETIENNE;0420042T;LYCEE GENERAL ET TECHNOLOGIQUE;HONORE D'URFE;PUBLIC;230;141;89;16;4;1;0;0;0;59;26;29;21;43;31;34;28;36;31;28;23;0;0;0;0;7;3;19;7;10;4;0;0;0;0;0;0;0;0;0;0;14;16;9;12;21;12;3;5;8;4;18;10;13;3;3;2;2;4;3;1;0;0;3;1;0;2;0;0;0;0;44;17;42001
2020;AUVERGNE-RHONE-ALPES;LYON;RHONE;LYON;0690519P;LYCEE GEN.ET TECHNOL.PRIVE;NOTRE DAME DES MINIMES;PRIVE SOUS CONTRAT;130;63;67;8;1;1;0;0;0;15;10;15;18;23;32;28;41;19;23;12;8;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;15;23;10;12;4;0;6;3;7;11;4;5;2;2;2;0;0;4;3;1;0;0;2;0;0;4;0;0;0;0;8;2;69322
2020;BOURGOGNE-FRANCHE-COMTE;BESANCON;JURA;DOLE;0390013C;LYCEE POLYVALENT;JACQUES DUHAMEL;PUBLIC;163;75;88;6;3;0;0;0;0;13;4;19;14;22;22;23;61;29;32;35;20;0;6;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;1;13;7;24;10;11;21;8;10;10;3;7;3;1;6;1;3;1;4;1;2;1;0;6;1;1;0;0;1;12;0;1;4;3;39107
2020;BOURGOGNE-FRANCHE-COMTE;BESANCON;JURA;LONS-LE-SAUNIER;0390070P;LYCEE GEN.ET TECHNOL.PRIVE;SAINTE MARIE;PRIVE SOUS CONTRAT;50;29;21;7;3;0;0;0;0;8;2;11;7;13;7;7;12;4;6;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;3;2;1;0;2;2;2;2;1;1;5;1;1;2;3;2;1;0;0;0;4;0;1;2;0;0;1;0;2;1;39000
2020;BOURGOGNE-FRANCHE-COMTE;DIJON;COTE D'OR;DIJON;0210017E;LYCEE GENERAL ET TECHNOLOGIQUE;MONTCHAPET;PUBLIC;216;123;93;5;1;0;0;0;0;20;9;46;32;62;48;39;41;21;25;45;25;0;0;0;0;0;0;0;0;0;0;8;5;0;0;0;0;0;0;0;0;5;18;34;27;16;7;22;10;11;9;9;4;8;1;2;1;6;6;0;0;0;0;0;0;1;1;0;0;0;1;9;8;21000
2020;BRETAGNE;RENNES;COTES D'ARMOR;QUINTIN;0220106W;LYCEE GEN ET TECHNOL PRIVE;JEAN XXIII;PRIVE SOUS CONTRAT;116;64;52;8;2;0;0;0;0;20;5;7;11;24;12;22;27;18;22;29;21;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;13;2;5;12;9;10;8;5;1;13;3;1;1;2;1;3;3;4;1;0;3;1;0;1;2;0;0;1;1;3;1;22800
2020;BRETAGNE;RENNES;FINISTERE;LANDERNEAU;0290044R;LPO LYCEE DES METIERS;DE L'ELORN;PUBLIC;203;115;88;15;5;0;0;0;0;23;9;32;10;44;15;39;50;38;40;38;22;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;15;14;25;18;6;22;11;11;8;9;1;10;4;6;2;5;1;3;1;5;1;0;5;3;3;1;0;1;11;1;1;6;8;29207
2020;BRETAGNE;RENNES;FINISTERE;QUIMPER;0290170C;LYCEE GEN ET TECHNOL PRIVE;LE LIKES - LA SALLE - QUIMPER;PRIVE SOUS CONTRAT;273;150;123;13;1;0;0;0;0;37;17;40;22;67;35;39;74;48;66;45;18;0;0;0;0;0;0;11;2;0;0;0;0;0;0;0;0;0;0;0;11;23;56;30;16;25;9;8;3;6;4;23;9;6;5;2;1;7;6;3;0;0;0;1;0;0;0;0;10;1;0;15;4;29196
2020;BRETAGNE;RENNES;MORBIHAN;PONTIVY;0560038M;LYCEE GENERAL ET TECHNOLOGIQUE;JOSEPH LOTH;PUBLIC;228;149;79;9;4;0;0;0;0;46;7;65;26;47;24;38;37;20;16;39;19;2;10;0;0;0;0;0;0;28;4;0;0;0;0;0;0;0;0;4;11;7;10;19;12;13;5;15;5;6;6;12;0;24;2;3;3;7;4;1;0;2;8;0;1;1;0;4;5;3;5;32;13;56306
2020;CENTRE-VAL DE LOIRE;ORLEANS-TOURS;EURE-ET-LOIR;DREUX;0280667Y;LYCEE GEN.ET TECHNOL.PRIVE;ST PIERRE ST PAUL;PRIVE SOUS CONTRAT;94;50;44;0;0;0;0;0;0;15;7;18;8;13;6;14;30;21;21;13;9;0;5;0;0;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;12;19;9;4;9;1;2;6;0;1;2;1;8;3;0;0;2;0;0;0;0;4;0;0;0;0;0;0;0;0;6;5;28109
