rentree_scolaire;region_academique;academie;departement;commune;numero_lycee;denomination_principale;patronyme;secteur;nombre_d_eleves;2ndes_pro;2ndes_pro_filles;2ndes_pro_garcons;2ndes_pro_production;2ndes_pro_services;2ndes_pro_lv1_allemand;2ndes_pro_lv1_anglais;2ndes_pro_lv1_espagnol;2ndes_pro_lv1_autres_langues;2ndes_pro_lv2_allemand;2ndes_pro_lv2_anglais;2ndes_pro_lv2_espagnol;2ndes_pro_lv2_italien;2ndes_pro_lv2_autres_langues;1eres_pro;1eres_pro_filles;1eres_pro_garcons;1eres_pro_production;1eres_pro_services;1eres_pro_lv1_allemand;1eres_pro_lv1_anglais;1eres_pro_lv1_espagnol;1eres_pro_lv1_autres_langues;1eres_pro_lv2_allemand;1eres_pro_lv2_anglais;1eres_pro_lv2_espagnol;1eres_pro_lv2_italien;1eres_pro_lv2_autres_langues;terminales_pro;terminales_pro_filles;terminales_pro_garcons;terminales_pro_production;terminales_pro_services;terminales_pro_lv1_allemand;terminales_pro_lv1_anglais;terminales_pro_lv1_espagnol;terminales_pro_lv1_autres_langues;terminales_pro_lv2_allemand;terminales_pro_lv2_anglais;terminales_pro_lv2_espagnol;terminales_pro_lv2_italien;terminales_pro_lv2_autres_langues;cap_1ere_annee;cap_1ere_annee_filles;cap_1ere_annee_garcons;cap_1ere_annee_production;cap_1ere_annee_services;cap_2nde_annee;cap_2nde_annee_filles;cap_2nde_annee_garcons;cap_2nde_annee_production;cap_2nde_annee_services;cap_en_1_an;cap_en_1_an_filles;cap_en_1_an_garcons;cap_en_1_an_production;cap_en_1_an_services;bma_1ere_annee;bma_1ere_annee_filles;bma_1ere_annee_garcons;bma_1ere_annee_production;bma_1ere_annee_services;bma_2nde_annee;bma_2nde_annee_filles;bma_2nde_annee_garcons;bma_2nde_annee_production;bma_2nde_annee_services;bma_en_1_an;mc;mc_filles;mc_garcons;mc_production;mc_services;code_postal;cap_en_3_ans;cap_en_3_ans_filles;cap_en_3_ans_garcons;cap_en_3_ans_production;cap_en_3_ans_services
2019;AUVERGNE-ET-RHONE-ALPES;CLERMONT-FERRAND;ALLIER;COMMENTRY;0031044U;LYCEE POLYVALENT;GENEVIEVE VINCENT;PUBLIC;213;61;50;11;17;44;0;61;0;0;0;0;0;0;0;55;50;5;10;45;0;55;0;0;0;0;0;0;0;54;49;5;10;44;0;54;0;0;0;0;0;0;0;21;17;4;10;11;22;15;7;12;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;03600;0;0;0;0;0
2019;AUVERGNE-ET-RHONE-ALPES;CLERMONT-FERRAND;ALLIER;CUSSET;0031082K;LYCEE POLYVALENT;VALERY LARBAUD;PUBLIC;544;147;86;61;20;127;0;147;0;0;0;0;69;3;0;164;89;75;25;139;0;164;0;0;0;0;93;8;0;165;88;77;24;141;0;165;0;0;0;0;95;7;0;26;24;2;13;13;23;19;4;11;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;7;12;0;19;03306;0;0;0;0;0
2019;AUVERGNE-ET-RHONE-ALPES;CLERMONT-FERRAND;ALLIER;MONTLUCON;0030026M;LPO LYCEE DES METIERS;PAUL CONSTANS;PUBLIC;494;148;52;96;61;87;0;148;0;0;2;0;80;5;0;153;46;107;64;89;0;153;0;0;8;0;72;9;0;133;44;89;58;75;0;133;0;0;6;0;60;9;0;34;6;28;22;12;26;6;20;16;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;03107;0;0;0;0;0
2019;AUVERGNE-ET-RHONE-ALPES;CLERMONT-FERRAND;ALLIER;MONTLUCON;0031043T;LPO LYCEE DES METIERS;ALBERT EINSTEIN;PUBLIC;246;74;1;73;74;0;0;74;0;0;0;0;0;0;0;58;2;56;58;0;0;58;0;0;0;0;0;0;0;63;2;61;63;0;0;63;0;0;0;0;0;0;0;21;3;18;21;0;20;1;19;20;0;10;1;9;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;03105;0;0;0;0;0
2019;AUVERGNE-ET-RHONE-ALPES;CLERMONT-FERRAND;HAUTE-LOIRE;BRIOUDE;0430109K;ETAB.REGIONAL ENSEIGNT ADAPTE;ALEXANDRE VIALATTE;PUBLIC;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;10;17;17;10;13;6;7;5;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43103;0;0;0;0;0
2019;AUVERGNE-ET-RHONE-ALPES;CLERMONT-FERRAND;HAUTE-LOIRE;LE PUY-EN-VELAY;0430020N;LPO LYCEE DES METIERS;CHARLES ET ADRIEN DUPUY;PUBLIC;106;36;0;36;36;0;0;36;0;0;0;0;0;0;0;35;1;34;35;0;0;35;0;0;0;0;0;0;0;35;3;32;35;0;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43003;0;0;0;0;0
2019;AUVERGNE-ET-RHONE-ALPES;CLERMONT-FERRAND;HAUTE-LOIRE;MONISTROL-SUR-LOIRE;0430103D;LYCEE PROFESSIONNEL PRIVE;NOTRE DAME DU CHATEAU;PRIVE;225;62;14;48;42;20;0;62;0;0;0;0;20;0;0;59;18;41;34;25;0;59;0;0;0;0;25;0;0;58;14;44;38;20;0;58;0;0;0;0;20;0;0;27;1;26;27;0;19;1;18;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43120;0;0;0;0;0
2019;AUVERGNE-ET-RHONE-ALPES;CLERMONT-FERRAND;HAUTE-LOIRE;YSSINGEAUX;0430953C;LYCEE POLYVALENT;EMMANUEL CHABRIER;PUBLIC;224;68;27;41;34;34;0;68;0;0;0;0;42;5;0;65;36;29;28;37;0;65;0;0;0;0;42;6;0;60;30;30;26;34;0;60;0;0;0;0;44;1;0;17;4;13;17;0;14;9;5;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43201;0;0;0;0;0
2019;AUVERGNE-ET-RHONE-ALPES;CLERMONT-FERRAND;PUY-DE-DOME;CLERMONT-FERRAND;0631409P;LP LYCEE DES METIERS;CAMILLE CLAUDEL;PUBLIC;400;116;29;87;54;62;0;116;0;0;0;0;61;1;0;124;30;94;53;71;0;124;0;0;0;0;69;2;0;113;29;84;51;62;0;113;0;0;0;0;62;0;0;23;9;14;0;23;24;6;18;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;#N/A;0;0;0;0;0
2019;AUVERGNE-ET-RHONE-ALPES;CLERMONT-FERRAND;PUY-DE-DOME;CLERMONT-FERRAND;0631736V;LYCEE PROF PRIVE DES METIERS;GODEFROY DE BOUILLON;PRIVE;314;91;21;70;62;29;0;91;0;0;0;0;0;0;0;92;17;75;63;29;0;92;0;0;0;0;0;0;0;71;23;48;45;26;0;71;0;0;0;0;0;0;0;28;14;14;13;15;7;0;7;7;0;0;0;0;0;0;13;12;1;13;0;12;9;3;12;0;0;0;0;0;0;0;63037;0;0;0;0;0
