rentree_scolaire,denomination_principale_x,secteur,nombre_d_eleves,latitude,longitude,appariement,nature_uai_libe,numero_uai,code_departement
2020,LYCEE POLYVALENT,PUBLIC,98,46.292347295313554,2.734951132317106,Parfaite,LYCEE POLYVALENT,0031044U,003
2020,LGT LYCEE DES METIERS,PUBLIC,1557,46.13183426472429,3.441219561272604,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0030051P,003
2020,LYCEE GENERAL PRIVE,PRIVE,325,46.134510066225005,3.457950365917865,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0030072M,3
2020,LYCEE POLYVALENT,PUBLIC,256,46.12703846846079,3.4457605558974187,Parfaite,LYCEE POLYVALENT,0031082K,003
2020,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,43,46.10001415611906,3.194069518816237,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0030073N,003
2020,LYCEE GENERAL,PUBLIC,1033,46.33888967096181,2.609977258986727,Correcte,LYCEE D ENSEIGNEMENT GENERAL,0030025L,003
2020,LPO LYCEE DES METIERS,PUBLIC,887,46.3347260637337,2.5776894520201377,Parfaite,LYCEE POLYVALENT,0030026M,3
2020,LYCEE GENERAL PRIVE,PRIVE,66,46.34121000750971,2.6080793430374443,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0030445T,3
2020,LYCEE GENERAL,PUBLIC,1051,46.5688932701685,3.3279897502624785,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0030036Y,003
2020,LYCEE GENERAL PRIVE,PRIVE,104,46.56289643067923,3.3295097594060907,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0030084A,003
2020,LYCEE TECHNOLOGIQUE PRIVE,PRIVE,75,46.56648012042357,3.3357393730290905,Parfaite,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE,0031041R,003
2020,LYCEE GENERAL,PUBLIC,354,46.311362925956864,3.293270560608569,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0030044G,3
2020,LPO LYCEE DES METIERS,PUBLIC,478,46.56742606840772,3.3570105269385504,Parfaite,LYCEE POLYVALENT,0030038A,3
2020,LPO LYCEE DES METIERS,PUBLIC,713,44.93647192501501,2.4525295902159927,Parfaite,LYCEE POLYVALENT,0150006A,15
2020,LYCEE POLYVALENT PRIVE,PRIVE,95,44.93154135603112,2.446330072496317,MANUEL,LYCEE POLYVALENT,0150047V,015
2020,LYCEE GENERAL,PUBLIC,710,44.92778285964079,2.439440592922277,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0150646W,015
2020,LYCEE POLYVALENT PRIVE,PRIVE,131,44.91492261677949,2.435849985504045,Parfaite,LYCEE POLYVALENT,0150760V,15
2020,LPO LYCEE DES METIERS,PUBLIC,231,45.2133038762988,2.340640464415876,Parfaite,LYCEE POLYVALENT,0150747F,015
2020,LYCEE POLYVALENT,PUBLIC,452,45.0352036275507,3.0819798437208243,Parfaite,LYCEE POLYVALENT,0150030B,015
2020,LYCEE GENERAL PRIVE,PRIVE,39,45.03502099330704,3.0865497308927643,Parfaite,LYCEE D ENSEIGNEMENT GENERAL,0150051Z,015
2020,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,480,45.28922422306507,3.3817200095439137,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0430003V,43
2020,LYCEE POLYVALENT PRIVE,PRIVE,206,45.29104323529904,3.3882295451355,Parfaite,LYCEE POLYVALENT,0430053Z,043
2020,LYCEE GEN.ET TECHNOL.PRIVE,PRIVE,465,45.05434934112828,3.912939863645822,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0430055B,43
2020,LPO LYCEE DES METIERS,PUBLIC,478,45.036889020655344,3.893034181432374,Parfaite,LYCEE POLYVALENT,0430020N,043
2020,LYCEE GENERAL ET TECHNOLOGIQUE,PUBLIC,1046,45.04881318010798,3.894879544409612,Parfaite,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE,0430021P,043
